Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,ALL_SKIN_TYPES_COUNT,Suitable_For_All_Skin
Sun Protect,FARMACY,FARMACY Unseen Sunscreen SPF 40 #1,87.77,3.8,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,0,1,1,4,No
Moisturizer,ESTÉE LAUDER,ESTÉE LAUDER Ultra Facial Cream #2,67.46,3.4,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",0,1,0,1,1,3,No
Cleanser,KORA ORGANICS,KORA ORGANICS Kalie Squalane Cleanser #3,47.9,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,0,1,0,3,No
Treatment,SHISEIDO,SHISEIDO Luna Sleeping Night Oil #4,86.76,4.2,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,1,0,1,3,No
Moisturizer,PAULA'S CHOICE,PAULA'S CHOICE The True Cream Aqua Bomb #5,108.73,4.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",0,0,0,1,0,1,No
Treatment,OLEHENRIKSEN,OLEHENRIKSEN BHA Liquid Exfoliant #6,81.64,4.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,0,1,4,No
Face Mask,HERBIVORE,HERBIVORE Sheet Mask Hydrating #7,83.18,3.7,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",1,1,1,1,1,5,Yes
Treatment,SUNDAY RILEY,SUNDAY RILEY BHA Liquid Exfoliant #8,102.53,4.3,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,0,1,1,4,No
Cleanser,SHISEIDO,SHISEIDO Gentle Skin Cleanser #9,45.21,4.2,"Water, Lactic Acid, Glycolic Acid, Sodium Hydroxide, Centella Asiatica Extract, Allantoin",0,1,1,0,0,2,No
Eye Cream,LANEIGE,LANEIGE Banana Bright Eye Crème #10,89.0,4.7,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
Eye Cream,DERMALOGICA,DERMALOGICA Lightful C Eye Cream #11,45.62,4.2,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,0,3,No
Face Mask,FRESH,FRESH Babyfacial AHA/BHA Mask #12,24.28,4.5,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Cleanser,MURAD,MURAD Gentle Skin Cleanser #13,70.39,4.6,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",1,0,0,1,1,3,No
Treatment,FIRST AID BEAUTY,FIRST AID BEAUTY BHA Liquid Exfoliant #14,28.98,4.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,0,0,3,No
Sun Protect,MARIO BADESCU,MARIO BADESCU Defense Refresh Setting Mist #15,38.2,4.2,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,1,1,1,4,No
Sun Protect,MURAD,MURAD UV Clear Broad-Spectrum #16,101.37,4.1,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Eye Cream,PAULA'S CHOICE,PAULA'S CHOICE Banana Bright Eye Crème #17,30.11,4.3,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,0,4,No
Treatment,LANEIGE,LANEIGE BHA Liquid Exfoliant #18,70.37,4.5,"Water, Ascorbic Acid, Ferulic Acid, Panthenol, Xanthan Gum, Citric Acid, Disodium EDTA",0,1,0,1,0,2,No
Moisturizer,BELIF,BELIF Midnight Recovery Concentrate #19,54.47,4.0,"Water, Titanium Dioxide, Zinc Oxide, Caprylic/Capric Triglyceride, Silica, Iron Oxides",1,1,1,1,0,4,No
Moisturizer,THE ORDINARY,THE ORDINARY Ultra Facial Cream #20,9.85,4.1,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,0,0,0,1,2,No
Face Mask,BELIF,BELIF Jet Lag Mask #21,80.08,4.2,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,1,1,1,1,5,Yes
Face Mask,ESTÉE LAUDER,ESTÉE LAUDER Charcoal Pore Minimizing Mask #22,58.49,3.5,"Water, Retinol, Ceramide NP, Cholesterol, Phytosphingosine, Phenoxyethanol, Ethylhexylglycerin",1,1,1,1,0,4,No
Face Mask,LANEIGE,LANEIGE Water Sleeping Mask #23,40.33,3.7,"Water, Glycerin, Dimethicone, Niacinamide, Hyaluronic Acid, Squalane, Tocopherol",1,0,1,1,1,4,No
Eye Cream,KORA ORGANICS,KORA ORGANICS Autocorrect Brightening Eye Cream #24,28.89,4.2,"Water, Butylene Glycol, Salicylic Acid, Camellia Sinensis Leaf Extract, Sodium Hyaluronate",1,1,1,1,1,5,Yes
